"Country","CountryCode","CountryCodeID","ProductID","ProductName","Unit","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Moldova","MV",311,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",22.87,28.67,33,84,97,97,97,98,99,90.5101937353679,87.5328376469627,86.773456834917,85.8784148916343,63.9944687313349,63.5927463696232,65.1523619497881,66.357019087072,63.9945354613795,63.5927630622993
"Monaco","MN",304,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",24.2,24.2,45,100,97,100,100,100,100,102.176890899906,102.841484076551,105.954052770118,104.020317306552,102.20461306676,102.850270469662,105.95683720304,104.021196890604,102.204891794076,102.850358793904
"Mongolia","ML",302,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",6.9,6.9,6.9,6.9,6.9,21,45,59,73,85.0530570302815,92.2295148876198,95.5198494813164,91.8702104296108,95.1276008484003,97.0568319217645,97.7302949075305,92.8386821200985,95.6179877660528,97.2807520077734
"Montenegro","ME",469,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,38,62,65,85,98,97.62,97.65,97.52,103.737715457321,102.80630076033,98.2563257634595,101.861578767814,104.207253420939,103.04170476025,98.3741892732675,101.920440247557,104.236695051882,103.056428568229
"Morocco","MO",305,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,45.44,68,93,96,98.75,98.75,97.188345010935,98.1342533597192,100.245538542302,97.5682813209974,97.3043696278665,98.2109504851784,100.287259511791,97.5684939438885,97.3044172531229,98.2109611527146
"Namibia","NB",316,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",37,37,37,37,39,39,39,39,39,37.3429876291528,36.024740851838,35.2179827620477,34.6002784871161,32.4611502509445,30.8582386446782,29.8135089992655,29.1808736065583,27.0290728383478,25.4795278593525
"Nauru","NU",325,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,0,30,30,30,30,30,39.6495272545278,38.7467078004778,37.5406778591103,48.7326522113729,47.4529652153448,46.113852372231,44.8021160607303,56.2251859491512,63.6085605806597,62.4727395776166
"Netherlands","NL",320,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",29.28,80,99,99,99,99,99,99,99,99.4170497545034,99.2616195876163,98.4734276383377,98.9413543486,99.4170501685729,99.261619631502,98.4734276429869,98.9413543490821,99.4170501686222,99.2616196315002
"New Zealand","NZ",327,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",50,50,50,88,90,94,97,97,97.5,104.505169660306,107.628258067347,111.197312355977,108.955689146242,110.66223807682,112.963483739836,115.883708998491,113.119791442144,121.736421761807,122.952291470472
"Nigeria","NG",318,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",8.64,8.64,22.34,22.34,22.34,22.34,22.34,37.8,40.53,56.6055556072261,77.599221311271,98.4225204685546,107.021336665513,116.755488479797,122.725838259957,126.861937605657,122.597434198453,124.426616287855,126.367822550579
"Norway","NO",322,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",54.92,68.95,85,99,99.2,99.8,99.9,99.9,99.9,99.7805060674538,99.984908196718,101.413690019536,100.821825444473,99.7910393264506,99.9885140003575,101.414924320429,100.822246711509,99.7911835270588,99.9885633604453
